Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
None,LogReg,0.8315217391304348,0.8736842105263158,0.8137254901960784,0.8426395939086294,0.9078192252510762,['[No selector to extract from]'],True,"{'model__C': np.float64(0.17066305219717406), 'model__penalty': 'l2', 'model__solver': 'newton-cg'}"
None,DecTree,0.7934782608695652,0.7909090909090909,0.8529411764705882,0.8207547169811321,0.8808584409373506,['[No selector to extract from]'],True,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 6, 'model__min_samples_split': 11}"
None,RandForest,0.8641304347826086,0.8666666666666667,0.8921568627450981,0.8792270531400966,0.9353180296508847,['[No selector to extract from]'],True,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30}"
None,SVM,0.842391304347826,0.8762886597938144,0.8333333333333334,0.8542713567839196,0.9166068866571019,['[No selector to extract from]'],True,"{'model__C': np.float64(5.347564316322378), 'model__gamma': 'scale', 'model__kernel': 'linear'}"
None,KNN,0.8478260869565217,0.8775510204081632,0.8431372549019608,0.86,0.9149928263988523,['[No selector to extract from]'],True,"{'model__n_neighbors': 14, 'model__p': 2, 'model__weights': 'distance'}"
None,XGBoost,0.8532608695652174,0.8640776699029126,0.8725490196078431,0.8682926829268293,0.9371114299378288,['[No selector to extract from]'],True,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}"
None,Default Voting,0.8532608695652174,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9256336681013869,['[No selector to extract from]'],False,Default base learners
None,Default Stacking,0.8315217391304348,0.8585858585858586,0.8333333333333334,0.845771144278607,0.9143950263032041,['[No selector to extract from]'],False,Default base learners
None,Optimized Stacking,0.842391304347826,0.8411214953271028,0.8823529411764706,0.861244019138756,0.9283835485413678,['[No selector to extract from]'],True,"{'model__final_estimator__C': 0.1, 'model__passthrough': False}"
Chi2,LogReg,0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.9099115255858441,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__C': np.float64(0.17066305219717406), 'model__penalty': 'l2', 'model__solver': 'newton-cg'}"
Chi2,DecTree,0.7663043478260869,0.8105263157894737,0.7549019607843137,0.7817258883248731,0.8649569583931134,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 8}"
